optimizing function: rosenbrock_function
ALGORITHM: Genetic Algorithm
epoch      best_fit  
---------- ----------
0          4873.567172476007
1          4225.380141313561
2          3019.3137692102136
3          1589.8825686529785
4          1355.7266778416756
5          528.2908325450002
6          528.2908325450002
7          370.1425414404316
8          370.1425414404316
9          338.8614889902257
10         338.8614889902257
11         338.8614889902257
12         338.8614889902257
13         338.8614889902257
14         338.8614889902257
15         338.8614889902257
16         338.8614889902257
17         318.2412693337575
18         292.56009915315616
19         253.39114520283084
20         253.39114520283084
21         253.39114520283084
22         253.39114520283076
23         253.39114520283076
24         253.39114520283076
25         253.39114520283076
26         253.39114520283076
27         253.39114520283076
28         253.39114520283076
29         253.39114520283076
30         253.39114520283076
31         253.39114520283076
32         253.39114520283076
33         253.39114520283076
34         253.39114520283076
35         253.39114520283076
36         253.39114520283076
37         253.39114520283076
38         253.39114520283076
39         98.45396768986717
40         98.45396768986717
41         98.45396768986717
42         98.45396768986717
43         98.45396768986717
44         98.45396768986717
45         98.45396768986717
46         98.45396768986717
47         98.45396768986717
48         98.45396768986717
49         98.45396768986717
50         98.45396768986717
51         98.45396768986717
52         98.45396768986717
53         29.692395015595594
54         29.692395015595594
55         29.692395015595594
56         29.692395015595594
57         29.692395015595594
58         29.692395015595594
59         14.283866527432703
60         14.283866527432703
61         14.283866527432703
62         14.283866527432703
63         14.283866527432703
64         14.283866527432703
65         14.283866527432703
66         14.283866527432703
67         14.283866527432703
68         14.283866527432703
69         14.283866527432703
70         14.283866527432703
71         14.283866527432703
72         14.283866527432703
73         14.283866527432703
74         14.283866527432703
75         14.283866527432703
76         14.283866527432703
77         14.283866527432703
78         14.283866527432703
79         14.283866527432703
80         14.283866527432703
81         14.283866527432703
82         14.283866527432703
83         14.283866527432703
84         14.283866527432703
85         14.283866527432703
86         14.283866527432703
87         14.283866527432703
88         11.232672225058787
89         11.232672225058787
90         11.232672225058787
91         11.232672225058787
92         11.232672225058787
93         11.232672225058787
94         10.49769390849735
95         10.49769390849735
96         4.823756140979648
97         4.823756140979648
98         4.737470932354838
99         4.42273422441436
best_value:4.42273422441436 and location:[-0.95670533  0.91710128  0.78370843  0.6601298 ]
