optimizing function: custom_function1
ALGORITHM: Genetic Algorithm
epoch      best_fit  
---------- ----------
0          5.331258439273423
1          5.331258439273423
2                 0.0
3                 0.0
4                 0.0
5          -0.06307611180813705
6          -0.06307611180813705
7          -0.06307611180813705
8          -0.06307611180813705
9          -0.06307611180813705
10         -0.06307611180813705
11         -0.06307611180813705
12         -0.06307611180813705
13         -0.06307611180813705
14         -0.06307611180813705
15         -0.16432599087084018
16         -0.16432599087084018
17         -0.16432599087084018
18         -0.16432599087085245
19         -0.36295361380775204
20         -0.36295361380775204
21         -0.36295361380775204
22         -0.36295361380775204
23         -0.752551380482327
24         -0.752551380482327
25         -0.752551380482327
26         -0.752551380482327
27         -0.7525513804823831
28         -0.7525513804823831
29         -0.7525513804823831
30         -0.7525513804823831
31         -0.7525513804823831
32         -0.7525513804823831
33         -0.7525513804823831
34         -0.7525513804823831
35         -0.7525513804823831
36         -0.7525513804823831
37         -0.7525513804823831
38         -0.7525513804823831
39         -0.7525513804823831
40         -0.7525513804823831
41         -0.7525513804823831
42         -0.7525513804823831
43         -0.7525513804823831
44         -0.7525513804823831
45         -0.7525513804823831
46         -0.7525513804823831
47         -0.7525513804823831
48         -0.7525513804823831
49         -0.7525513804823831
50         -0.7525513804823831
51         -0.7525513804823831
52         -0.7525513804823831
53         -0.7525513804823831
54         -0.7525513804823831
55         -0.7525513804823831
56         -0.7525513804823831
57         -0.7525513804823831
58         -0.7525513804823831
59         -0.7525513804823831
60         -0.7525513804823831
61         -0.7525513804823831
62         -0.7525513804823831
63         -0.7525513804823831
64         -0.7525513804823831
65         -0.7525513804823831
66         -0.7525513804823831
67         -0.9570675024914667
68         -0.9570675024914667
69         -0.9570675024914667
70         -0.9570675024914667
71         -0.9570675024914667
72         -0.9570675024914667
73         -0.9570675024914667
74         -0.9570675024914667
75         -0.9570675024914667
76         -0.9570675024914914
77         -0.9570675024914914
78         -0.9570675024914914
79         -0.9570675024914914
80         -0.9570675024914914
81         -0.9570675024914914
82         -0.9570675024914914
83         -0.9570675024914914
84         -0.9570675024914914
85         -0.9570675024914914
86         -0.9570675024914914
87         -0.990090629895773
88         -0.990090629895773
89         -0.990090629895773
90         -0.990090629895773
91         -0.990090629895773
92         -0.990090629895773
93         -0.990090629895773
94         -0.990090629895773
95         -0.990090629895773
96         -0.990090629895773
97         -0.990090629895773
98         -0.990090629895773
99         -0.990090629895773
best_value:-0.990090629895773 and location:[1.         0.         5.82631171 1.57066304]
